,model,split,f2_score,hidden_size,num_layers,bidirectional,dropout,lr,batch_size,num_epochs
50,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,True,0.1,0.01,32,10
51,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,True,0.1,0.01,32,10
52,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,True,0.1,0.01,32,10
53,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,True,0.1,0.01,32,10
54,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,True,0.1,0.01,32,10
55,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,True,0.1,0.01,32,20
56,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,True,0.1,0.01,32,20
57,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,True,0.1,0.01,32,20
58,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,True,0.1,0.01,32,20
59,hidden_size_32_num_layers_2_bidirectional_True_dropout_0.1_lr_0.01_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,True,0.1,0.01,32,20
60,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,False,0.0,0.0001,32,10
61,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,False,0.0,0.0001,32,10
62,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,False,0.0,0.0001,32,10
63,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,False,0.0,0.0001,32,10
64,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,False,0.0,0.0001,32,10
65,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,False,0.0,0.0001,32,20
66,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,False,0.0,0.0001,32,20
67,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,2,0.8326817826426895,32,2,False,0.0,0.0001,32,20
68,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,3,0.8326817826426895,32,2,False,0.0,0.0001,32,20
69,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.0001_batch_size_32_num_epochs_20/,4,0.8339828526890102,32,2,False,0.0,0.0001,32,20
70,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,0,0.8339828526890102,32,2,False,0.0,0.001,32,10
71,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,1,0.8326817826426895,32,2,False,0.0,0.001,32,10
72,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,2,0.8326817826426895,32,2,False,0.0,0.001,32,10
73,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,3,0.8326817826426895,32,2,False,0.0,0.001,32,10
74,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_10/,4,0.8339828526890102,32,2,False,0.0,0.001,32,10
75,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,0,0.8339828526890102,32,2,False,0.0,0.001,32,20
76,hidden_size_32_num_layers_2_bidirectional_False_dropout_0.0_lr_0.001_batch_size_32_num_epochs_20/,1,0.8326817826426895,32,2,False,0.0,0.001,32,20
