,model,split,f2_score,n_neighbors,metric,contamination,encoding_dim
133,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,10,euclidean,0.01,256
134,n_neighbors_10_metric_euclidean_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,10,euclidean,0.01,256
135,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_64/,0,0.8478605388272583,10,euclidean,0.05,64
136,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_64/,1,0.8405341712490181,10,euclidean,0.05,64
137,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_64/,2,0.8541498791297341,10,euclidean,0.05,64
138,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_64/,3,0.8366219415943172,10,euclidean,0.05,64
139,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_64/,4,0.8459696727853152,10,euclidean,0.05,64
140,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_128/,0,0.8379013312451057,10,euclidean,0.05,128
141,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_128/,1,0.84251968503937,10,euclidean,0.05,128
142,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_128/,2,0.8234797297297297,10,euclidean,0.05,128
143,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_128/,3,0.840064620355412,10,euclidean,0.05,128
144,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_128/,4,0.8465189873417721,10,euclidean,0.05,128
145,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_256/,0,0.8406026962727994,10,euclidean,0.05,256
146,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_256/,1,0.8346333853354134,10,euclidean,0.05,256
147,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_256/,2,0.8339828526890102,10,euclidean,0.05,256
148,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_256/,3,0.8346333853354134,10,euclidean,0.05,256
149,n_neighbors_10_metric_euclidean_contamination_0.05_encoding_dim_256/,4,0.8392156862745098,10,euclidean,0.05,256
150,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_64/,0,0.8485329103885805,10,euclidean,0.1,64
151,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_64/,1,0.840568271507498,10,euclidean,0.1,64
152,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_64/,2,0.8534621578099839,10,euclidean,0.1,64
153,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_64/,3,0.8419380460683081,10,euclidean,0.1,64
154,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_64/,4,0.8459696727853152,10,euclidean,0.1,64
155,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_128/,0,0.8418568056648308,10,euclidean,0.1,128
156,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_128/,1,0.8452380952380952,10,euclidean,0.1,128
157,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_128/,2,0.8400974025974026,10,euclidean,0.1,128
158,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_128/,3,0.840064620355412,10,euclidean,0.1,128
159,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_128/,4,0.8505564387917329,10,euclidean,0.1,128
160,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_256/,0,0.8366533864541833,10,euclidean,0.1,256
161,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_256/,1,0.8379228953579858,10,euclidean,0.1,256
162,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_256/,2,0.8352849336455894,10,euclidean,0.1,256
163,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_256/,3,0.8385579937304075,10,euclidean,0.1,256
164,n_neighbors_10_metric_euclidean_contamination_0.1_encoding_dim_256/,4,0.843183609141056,10,euclidean,0.1,256
165,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_64/,0,0.8539505187549881,10,euclidean,0.2,64
166,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_64/,1,0.8353413654618473,10,euclidean,0.2,64
167,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_64/,2,0.8529650690495532,10,euclidean,0.2,64
168,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_64/,3,0.8440514469453376,10,euclidean,0.2,64
169,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_64/,4,0.8452950558213717,10,euclidean,0.2,64
170,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_128/,0,0.8458498023715415,10,euclidean,0.2,128
171,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_128/,1,0.8452380952380952,10,euclidean,0.2,128
172,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_128/,2,0.8454106280193237,10,euclidean,0.2,128
173,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_128/,3,0.8393574297188755,10,euclidean,0.2,128
174,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_128/,4,0.8498808578236696,10,euclidean,0.2,128
175,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_256/,0,0.8372827804107424,10,euclidean,0.2,256
176,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_256/,1,0.8399053627760252,10,euclidean,0.2,256
177,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_256/,2,0.8392156862745098,10,euclidean,0.2,256
178,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_256/,3,0.8379228953579858,10,euclidean,0.2,256
179,n_neighbors_10_metric_euclidean_contamination_0.2_encoding_dim_256/,4,0.843183609141056,10,euclidean,0.2,256
180,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_64/,0,0.8333333333333334,10,manhattan,0.01,64
181,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_64/,1,0.8333333333333334,10,manhattan,0.01,64
182,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_64/,2,0.8553157474020784,10,manhattan,0.01,64
183,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_64/,3,0.8333333333333334,10,manhattan,0.01,64
184,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_64/,4,0.8333333333333334,10,manhattan,0.01,64
185,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_128/,0,0.8333333333333334,10,manhattan,0.01,128
186,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_128/,1,0.8333333333333334,10,manhattan,0.01,128
187,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_128/,2,0.843183609141056,10,manhattan,0.01,128
188,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_128/,3,0.8333333333333334,10,manhattan,0.01,128
189,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_128/,4,0.8333333333333334,10,manhattan,0.01,128
190,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_256/,0,0.8333333333333334,10,manhattan,0.01,256
191,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_256/,1,0.8333333333333334,10,manhattan,0.01,256
192,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_256/,2,0.8412698412698413,10,manhattan,0.01,256
193,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_256/,3,0.8333333333333334,10,manhattan,0.01,256
194,n_neighbors_10_metric_manhattan_contamination_0.01_encoding_dim_256/,4,0.8333333333333334,10,manhattan,0.01,256
195,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_64/,0,0.8459696727853152,10,manhattan,0.05,64
196,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_64/,1,0.8411949685534591,10,manhattan,0.05,64
197,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_64/,2,0.8475263584752636,10,manhattan,0.05,64
198,n_neighbors_10_metric_manhattan_contamination_0.05_encoding_dim_64/,3,0.8359621451104101,10,manhattan,0.05,64
