,model,split,f2_score,lr,batch_size,num_epochs,encoding_dim,hidden_dims,activation
121,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_relu/,1,0.8478605388272583,0.0001,32,20,128,[512],relu
122,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_relu/,2,0.8581788879935536,0.0001,32,20,128,[512],relu
123,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_relu/,3,0.8519108280254777,0.0001,32,20,128,[512],relu
124,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_relu/,4,0.8438485804416404,0.0001,32,20,128,[512],relu
125,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,0,0.8534554537885096,0.0001,32,20,128,[512],leaky_relu
126,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,1,0.8623481781376519,0.0001,32,20,128,[512],leaky_relu
127,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,2,0.8545603944124898,0.0001,32,20,128,[512],leaky_relu
128,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,3,0.8586688578471652,0.0001,32,20,128,[512],leaky_relu
129,lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[512]_activation_leaky_relu/,4,0.8554216867469879,0.0001,32,20,128,[512],leaky_relu
130,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",0,0.8622112211221122,0.0001,32,20,128,"[1024, 512]",relu
131,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",1,0.8602584814216478,0.0001,32,20,128,"[1024, 512]",relu
132,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",2,0.847808105872622,0.0001,32,20,128,"[1024, 512]",relu
133,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",3,0.864045864045864,0.0001,32,20,128,"[1024, 512]",relu
134,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_relu/",4,0.8554216867469879,0.0001,32,20,128,"[1024, 512]",relu
135,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",0,0.8465387823185988,0.0001,32,20,128,"[1024, 512]",leaky_relu
136,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",1,0.8637469586374696,0.0001,32,20,128,"[1024, 512]",leaky_relu
137,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",2,0.8525535420098846,0.0001,32,20,128,"[1024, 512]",leaky_relu
138,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",3,0.8607907742998353,0.0001,32,20,128,"[1024, 512]",leaky_relu
139,"lr_0.0001_batch_size_32_num_epochs_20_encoding_dim_128_hidden_dims_[1024, 512]_activation_leaky_relu/",4,0.8581788879935536,0.0001,32,20,128,"[1024, 512]",leaky_relu
