,model,split,f2_score,n_estimators,max_samples,contamination,encoding_dim
198,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,3,0.8692120227457352,100,0.5,0.05,64
199,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_64/,4,0.8333333333333334,100,0.5,0.05,64
200,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,0,0.8479299363057324,100,0.5,0.05,128
201,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,1,0.866721177432543,100,0.5,0.05,128
202,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,2,0.8505367464905037,100,0.5,0.05,128
203,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,3,0.8340498710232158,100,0.5,0.05,128
204,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_128/,4,0.8333333333333334,100,0.5,0.05,128
205,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,0,0.8512396694214877,100,0.5,0.05,256
206,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,1,0.8609539207760711,100,0.5,0.05,256
207,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,2,0.8333333333333334,100,0.5,0.05,256
208,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,3,0.8318739054290718,100,0.5,0.05,256
209,n_estimators_100_max_samples_0.5_contamination_0.05_encoding_dim_256/,4,0.8374384236453202,100,0.5,0.05,256
210,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,0,0.8333333333333334,100,0.5,0.1,64
211,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,1,0.843183609141056,100,0.5,0.1,64
212,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,2,0.8333333333333334,100,0.5,0.1,64
213,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,3,0.866885784716516,100,0.5,0.1,64
214,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_64/,4,0.8521809369951535,100,0.5,0.1,64
215,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,0,0.8333333333333334,100,0.5,0.1,128
216,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,1,0.8333333333333334,100,0.5,0.1,128
217,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,2,0.8333333333333334,100,0.5,0.1,128
218,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,3,0.8649959579628133,100,0.5,0.1,128
219,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_128/,4,0.8498349834983498,100,0.5,0.1,128
220,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,0,0.866885784716516,100,0.5,0.1,256
221,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,1,0.8333333333333334,100,0.5,0.1,256
222,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,2,0.8405341712490181,100,0.5,0.1,256
223,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,3,0.8627773212818406,100,0.5,0.1,256
224,n_estimators_100_max_samples_0.5_contamination_0.1_encoding_dim_256/,4,0.8602584814216478,100,0.5,0.1,256
225,n_estimators_100_max_samples_0.5_contamination_0.2_encoding_dim_64/,0,0.8531409168081494,100,0.5,0.2,64
226,n_estimators_100_max_samples_0.5_contamination_0.2_encoding_dim_64/,1,0.859375,100,0.5,0.2,64
227,n_estimators_100_max_samples_0.5_contamination_0.2_encoding_dim_64/,2,0.8475263584752636,100,0.5,0.2,64
228,n_estimators_100_max_samples_0.5_contamination_0.2_encoding_dim_64/,3,0.8756137479541735,100,0.5,0.2,64
229,n_estimators_100_max_samples_0.5_contamination_0.2_encoding_dim_64/,4,0.8588709677419355,100,0.5,0.2,64
