,model,split,f2_score,lr,num_epochs,kernel_size,out_channels,activation,fc1_size
135,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",0,0.8339828526890102,0.0001,10,10,"[32, 64]",leaky_relu,32
136,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",1,0.8326817826426895,0.0001,10,10,"[32, 64]",leaky_relu,32
137,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",2,0.8326817826426895,0.0001,10,10,"[32, 64]",leaky_relu,32
138,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",3,0.8326817826426895,0.0001,10,10,"[32, 64]",leaky_relu,32
139,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_32/",4,0.8735733099209834,0.0001,10,10,"[32, 64]",leaky_relu,32
140,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",0,0.8339828526890102,0.0001,10,10,"[32, 64]",leaky_relu,64
141,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",1,0.8326817826426895,0.0001,10,10,"[32, 64]",leaky_relu,64
142,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",2,0.8326817826426895,0.0001,10,10,"[32, 64]",leaky_relu,64
143,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",3,0.8326817826426895,0.0001,10,10,"[32, 64]",leaky_relu,64
144,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_64/",4,0.8661417322834646,0.0001,10,10,"[32, 64]",leaky_relu,64
145,"lr_0.0001_num_epochs_10_kernel_size_10_out_channels_[32, 64]_activation_leaky_relu_fc1_size_128/",0,0.8339828526890102,0.0001,10,10,"[32, 64]",leaky_relu,128
