,model,split,f2_score,kernel,nu,gamma,encoding_dim
157,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_128/,2,0.8417935702199661,rbf,0.05,scale,128
158,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_128/,3,0.8333333333333334,rbf,0.05,scale,128
159,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_128/,4,0.8333333333333334,rbf,0.05,scale,128
160,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_256/,0,0.8672638436482085,rbf,0.05,scale,256
161,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_256/,1,0.8588709677419355,rbf,0.05,scale,256
162,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_256/,2,0.8636363636363636,rbf,0.05,scale,256
163,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_256/,3,0.8333333333333334,rbf,0.05,scale,256
164,kernel_rbf_nu_0.05_gamma_scale_encoding_dim_256/,4,0.8333333333333334,rbf,0.05,scale,256
165,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_64/,0,0.8333333333333334,rbf,0.05,auto,64
166,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_64/,1,0.8333333333333334,rbf,0.05,auto,64
167,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_64/,2,0.8333333333333334,rbf,0.05,auto,64
168,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_64/,3,0.8333333333333334,rbf,0.05,auto,64
169,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_64/,4,0.8567980691874497,rbf,0.05,auto,64
170,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_128/,0,0.8333333333333334,rbf,0.05,auto,128
171,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_128/,1,0.8333333333333334,rbf,0.05,auto,128
172,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_128/,2,0.8333333333333334,rbf,0.05,auto,128
173,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_128/,3,0.8333333333333334,rbf,0.05,auto,128
174,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_128/,4,0.8634868421052632,rbf,0.05,auto,128
175,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_256/,0,0.8333333333333334,rbf,0.05,auto,256
176,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_256/,1,0.8333333333333334,rbf,0.05,auto,256
177,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_256/,2,0.8333333333333334,rbf,0.05,auto,256
178,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_256/,3,0.8333333333333334,rbf,0.05,auto,256
179,kernel_rbf_nu_0.05_gamma_auto_encoding_dim_256/,4,0.8550488599348535,rbf,0.05,auto,256
180,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_64/,0,0.8333333333333334,rbf,0.1,scale,64
181,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_64/,1,0.8333333333333334,rbf,0.1,scale,64
182,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_64/,2,0.8779884583676835,rbf,0.1,scale,64
183,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_64/,3,0.8333333333333334,rbf,0.1,scale,64
184,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_64/,4,0.8333333333333334,rbf,0.1,scale,64
185,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_128/,0,0.8333333333333334,rbf,0.1,scale,128
186,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_128/,1,0.8333333333333334,rbf,0.1,scale,128
187,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_128/,2,0.871900826446281,rbf,0.1,scale,128
188,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_128/,3,0.8333333333333334,rbf,0.1,scale,128
189,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_128/,4,0.8333333333333334,rbf,0.1,scale,128
190,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_256/,0,0.873015873015873,rbf,0.1,scale,256
191,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_256/,1,0.8553157474020784,rbf,0.1,scale,256
192,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_256/,2,0.835509138381201,rbf,0.1,scale,256
193,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_256/,3,0.8333333333333334,rbf,0.1,scale,256
194,kernel_rbf_nu_0.1_gamma_scale_encoding_dim_256/,4,0.8333333333333334,rbf,0.1,scale,256
195,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_64/,0,0.8333333333333334,rbf,0.1,auto,64
196,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_64/,1,0.8333333333333334,rbf,0.1,auto,64
197,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_64/,2,0.8333333333333334,rbf,0.1,auto,64
198,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_64/,3,0.8333333333333334,rbf,0.1,auto,64
199,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_64/,4,0.8713355048859935,rbf,0.1,auto,64
200,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_128/,0,0.8333333333333334,rbf,0.1,auto,128
201,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_128/,1,0.8333333333333334,rbf,0.1,auto,128
202,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_128/,2,0.8333333333333334,rbf,0.1,auto,128
203,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_128/,3,0.8333333333333334,rbf,0.1,auto,128
204,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_128/,4,0.874384236453202,rbf,0.1,auto,128
205,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_256/,0,0.8333333333333334,rbf,0.1,auto,256
206,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_256/,1,0.8333333333333334,rbf,0.1,auto,256
207,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_256/,2,0.8333333333333334,rbf,0.1,auto,256
208,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_256/,3,0.8333333333333334,rbf,0.1,auto,256
209,kernel_rbf_nu_0.1_gamma_auto_encoding_dim_256/,4,0.8658536585365854,rbf,0.1,auto,256
210,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_64/,0,0.8799342105263158,rbf,0.2,scale,64
211,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_64/,1,0.8823529411764706,rbf,0.2,scale,64
212,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_64/,2,0.8633696563285834,rbf,0.2,scale,64
213,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_64/,3,0.8873002523128679,rbf,0.2,scale,64
214,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_64/,4,0.8693877551020408,rbf,0.2,scale,64
215,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_128/,0,0.871900826446281,rbf,0.2,scale,128
216,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_128/,1,0.8736669401148482,rbf,0.2,scale,128
217,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_128/,2,0.8657829328914665,rbf,0.2,scale,128
218,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_128/,3,0.874897792313982,rbf,0.2,scale,128
219,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_128/,4,0.8722358722358723,rbf,0.2,scale,128
220,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_256/,0,0.8708094848732625,rbf,0.2,scale,256
221,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_256/,1,0.8630470016207455,rbf,0.2,scale,256
222,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_256/,2,0.8622112211221122,rbf,0.2,scale,256
223,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_256/,3,0.8663967611336032,rbf,0.2,scale,256
224,kernel_rbf_nu_0.2_gamma_scale_encoding_dim_256/,4,0.8505564387917329,rbf,0.2,scale,256
225,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_64/,0,0.8333333333333334,rbf,0.2,auto,64
226,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_64/,1,0.8333333333333334,rbf,0.2,auto,64
227,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_64/,2,0.8333333333333334,rbf,0.2,auto,64
228,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_64/,3,0.8333333333333334,rbf,0.2,auto,64
229,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_64/,4,0.8699186991869918,rbf,0.2,auto,64
230,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_128/,0,0.8333333333333334,rbf,0.2,auto,128
231,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_128/,1,0.8333333333333334,rbf,0.2,auto,128
232,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_128/,2,0.8333333333333334,rbf,0.2,auto,128
233,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_128/,3,0.8333333333333334,rbf,0.2,auto,128
234,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_128/,4,0.861781848459617,rbf,0.2,auto,128
235,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_256/,0,0.8333333333333334,rbf,0.2,auto,256
236,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_256/,1,0.8375850340136054,rbf,0.2,auto,256
237,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_256/,2,0.8333333333333334,rbf,0.2,auto,256
238,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_256/,3,0.8751027115858668,rbf,0.2,auto,256
239,kernel_rbf_nu_0.2_gamma_auto_encoding_dim_256/,4,0.8318965517241379,rbf,0.2,auto,256
